fy,month,acwi_exUS,IWV,VBTIX
2018,3,0.165278793261658,0.136439853129785,0.0114226667352488
2019,3,-0.0421567265055522,0.0851478520976283,0.0446645120863052
2020,3,-0.1557284797327,-0.0924792422880973,0.090948654868533
2021,3,0.494131369833054,0.62207810455986,0.00556685685750269
2022,3,-0.0148398564109713,0.118474751380733,-0.0405992116547095
2001,4,,,
2002,4,-0.114848749743689,-0.111805557519429,0.0745574746654851
2003,4,-0.155683439203112,-0.140811243695727,0.0737242100891506
2004,4,0.408086642599278,0.25299001957501,0.0193739365580374
2005,4,0.164434416982874,0.0680977775481846,0.052785950093577
2006,4,0.376162544916508,0.181170077092236,0.00705368738507417
2007,4,0.192224248824038,0.141133948439297,0.0749045927732732
2008,4,0.0358954538866612,-0.0536440480025056,0.068928417303737
2009,4,-0.426406118832198,-0.348296020548693,0.0408530790283235
2010,4,0.40379976691872,0.404885362162124,0.0797796611443651
2011,4,0.197273920766082,0.182862643704616,0.053619132809114
2012,4,-0.12895475215274,0.0322191454759415,0.0753875566348286
2013,4,0.141455467723124,0.168968834238383,0.0362432715485037
2014,4,0.0976083125195975,0.206682746229774,-0.00343521134389457
2015,4,0.0263115121485109,0.12504768817244,0.0446159039287819
2016,4,-0.112784408578929,-0.00674604638147758,0.0259832556052713
2017,4,0.125931735814356,0.188149834736952,0.00814436855200107
2018,4,0.159076824036397,0.128459621465709,-0.00448947320040871
2019,4,-0.032304994964002,0.124125450205299,0.0538720685573524
2020,4,-0.115124491902565,-0.0127615650945764,0.108882300808133
2021,4,0.429767027605268,0.510470235964136,-0.00176123824843633
2022,4,-0.103105522772592,-0.0334829624375793,-0.0861671486822351
2000,5,,,
2001,5,,-0.104885750493383,0.135306058296032
2002,5,-0.0798253992936003,-0.130310571982606,0.0741204989839341
2003,5,-0.111591246514659,-0.0768389386229818,0.085656577247001
2004,5,0.327857938642972,0.197666646700895,-0.00310874192836308
2005,5,0.167957598763979,0.0936207982260511,0.0684703114442122
2006,5,0.304385534569156,0.0994527613155163,-0.00441166337056664
2007,5,0.283861565016488,0.223210062290813,0.0675202289024266
2008,5,0.0255129264796661,-0.0694037413916868,0.0699147054695024
2009,5,-0.358905297523401,-0.325230600280011,0.0569991641898133
2010,5,0.106288342337898,0.227805231355601,0.0800056471100841
2011,5,0.299500125867587,0.267279760113764,0.0581016800967085
2012,5,-0.204935907370099,-0.0191893336451175,0.0716242131285094
2013,5,0.257892501862178,0.274987091193762,0.00896561038902677
2014,5,0.145443980187609,0.202899976418142,0.0245171647993581
2015,5,-0.00897688620902903,0.116871671375958,0.0291119275819318
2016,5,-0.113924667752221,0.00058121756936047,0.0308013890820369
2017,5,0.182426409903714,0.174896529027396,0.0147139642786354
2018,5,0.0967213572445626,0.148738905295181,-0.00513296330360913
2019,5,-0.0625986456901381,0.0233891480513206,0.0667060329228071
2020,5,-0.0343354244177099,0.111059585377343,0.0948130869513375
2021,5,0.427762570775057,0.438440035280896,-0.00472501381082657
2022,5,-0.124067678651154,-0.0387144165432729,-0.0830938052343883
2000,6,,,
2001,6,,-0.128621078329259,0.117296861817431
2002,6,-0.0844396686193628,-0.181739540996777,0.0715328265200144
2003,6,-0.045949595527455,0.00857635101913723,0.0811375427603411
2004,6,0.320299478822191,0.208117637059613,0.00377145729374395
2005,6,0.164659559972749,0.0780199292216504,0.0684382963232617
2006,6,0.279000748406411,0.0940718424030949,-0.00887196445869654
2007,6,0.296186440677966,0.199807475029499,0.0623352574861433
2008,6,-0.0663875008432053,-0.128307585942038,0.0739115509575228
2009,6,-0.309187819233783,-0.264593012629409,0.0628225510059697
2010,6,0.104253658693571,0.154428344031422,0.0915575179183359
2011,6,0.297294737378963,0.321496585278887,0.0372838117146355
2012,6,-0.145651624498048,0.0373193239115945,0.0761032018434367
2013,6,0.136325688103549,0.218076490033468,-0.00809060049995647
2014,6,0.217518324183294,0.242753428973369,0.0429200595462607
2015,6,-0.0525708095163429,0.0709366888584539,0.0176443926151029
2016,6,-0.102439880638933,0.0208863115995817,0.0614201797588989
2017,6,0.204527040995927,0.182564399739801,-0.00437327506068974
2018,6,0.0727781308419886,0.145943557279448,-0.00502584111384952
2019,6,0.0128858178170213,0.0867491002277325,0.0787036753246562
2020,6,-0.0480187156871953,0.0632978829098196,0.0899030337506115
2021,6,0.357175529386441,0.439639317357104,-0.00400480396686853
2022,6,-0.194199747556519,-0.140456280713545,-0.105562570456127
2000,7,,,
2001,7,,-0.137477604800561,0.132216859292219
2002,7,-0.154861661013344,-0.234168800629886,0.05322834593221
2003,7,0.0851792806399285,0.12346036617153,0.0399674061355202
2004,7,0.248521243830462,0.13660813848156,0.0484468395274338
2005,7,0.243941208042608,0.165189799302877,0.0477546887733353
2006,7,0.246054531273337,0.0509329815836956,0.0145410296150608
2007,7,0.279419598859974,0.160044807169377,0.0569805738742693
2008,7,-0.097271161122764,-0.106046996634088,0.0650266532165109
2009,7,-0.213313807338392,-0.202296611607489,0.0780743767314489
2010,7,0.0967342391861983,0.146363616895698,0.0862381515871837
2011,7,0.17361087908049,0.205617773248175,0.0438459743483741
2012,7,-0.121594306049822,0.0735619955529689,0.07403310357544
2013,7,0.169566344720296,0.268087046885489,-0.0197372056884042
2014,7,0.154858697881161,0.159534592638079,0.0382734071716016
2015,7,-0.0457311513173682,0.112364633894916,0.0279022841920309
2016,7,-0.0554261947988595,0.0423498587199633,0.0602013313276661
2017,7,0.190070280055372,0.159658019535688,-0.0068510777109414
2018,7,0.0593864503688724,0.16184775079933,-0.00850365340788695
2019,7,-0.022745604810953,0.0685043695069869,0.080751316937431
2020,7,0.00660740599895426,0.107054762896356,0.104264521765971
2021,7,0.277840265137205,0.38434197264781,-0.0073277374059546
2000,8,,,
2001,8,,-0.246054562832253,0.128899513547718
2002,8,-0.133287267701931,-0.176652590054639,0.0589813204410075
2003,8,0.117503077095222,0.135635400596409,0.0292385838506757
2004,8,0.222010838955155,0.116412032992305,0.0623154798958074
2005,8,0.265570748194807,0.153310769009552,0.0417686783358948
